'' 139 4585 4593 4595 4602 4603 4609 4625 4630 4632 4662 4664 4665 4689 4691 4692 4713 4714 4719 4769 4781 4785 4809 4810 4816 4824 4867 4882 4893 4903 4933 4941 4944 4951 4964 4988 5002 5003 5070 5109 5115 5117 5127 5132 5134 5139 5160 5162 5167 5171 5172 5176 5177 5193 5194 5195 5201 5206 5214 5226 5235 5244 5258 5268 5270 5271 5273 5283 5286 5288 5290 5318 5335 5345 5352 5363 5376 5377 5382 5388 5391 5392 5394 5408 5412 5453 5456 5458 5467 5471 5472 5473 5474 5505 5506 5507 5511 5523 5542 5554 5561 5567 5570 5586 5598 5655 5667 5690 5702 5706 5710 5711 5712 5717 5719 5727 5734 5746 5750 5752 5755 5761 5778 5779 5786 5787 5796 5800 5808 5827 5841 5850 5858 5868 5870 5879 5888 5895 5896 5908
'd 1 5888
'll 5 4951 5160 5288 5363 5376
'm 3 5345 5376 5561
'protection 1 4595
're 5 4625 4944 5467 5473 5808
's 309 4576 4577 4579 4584 4591 4592 4593 4599 4600 4602 4603 4604 4605 4609 4613 4615 4617 4621 4623 4625 4629 4630 4631 4633 4636 4637 4638 4640 4654 4659 4665 4666 4679 4687 4689 4690 4691 4692 4695 4700 4709 4711 4717 4719 4720 4735 4739 4740 4741 4742 4751 4768 4769 4772 4778 4781 4785 4787 4795 4796 4798 4806 4809 4816 4818 4822 4825 4833 4835 4867 4881 4884 4890 4893 4898 4905 4910 4933 4937 4941 4944 4951 4953 4962 4964 4974 4983 4987 4988 5009 5031 5053 5057 5070 5071 5077 5081 5091 5094 5109 5113 5115 5116 5117 5119 5125 5127 5132 5134 5139 5145 5146 5150 5152 5153 5156 5160 5162 5167 5168 5169 5171 5172 5176 5177 5178 5181 5183 5185 5189 5190 5192 5193 5194 5195 5196 5201 5203 5206 5207 5209 5210 5214 5216 5219 5220 5222 5226 5231 5234 5235 5236 5240 5244 5250 5255 5258 5266 5268 5270 5271 5273 5274 5277 5278 5279 5280 5285 5286 5288 5290 5291 5295 5299 5304 5318 5323 5328 5330 5331 5332 5333 5335 5338 5340 5345 5352 5360 5363 5371 5376 5377 5382 5389 5390 5391 5392 5394 5398 5411 5412 5421 5426 5435 5437 5441 5445 5447 5456 5458 5467 5471 5472 5473 5474 5481 5485 5507 5511 5517 5518 5531 5533 5537 5541 5542 5554 5558 5561 5570 5586 5597 5630 5644 5647 5660 5661 5667 5671 5684 5686 5689 5690 5692 5693 5702 5708 5710 5711 5712 5717 5724 5727 5734 5737 5739 5740 5746 5752 5755 5756 5757 5761 5762 5765 5767 5769 5778 5779 5780 5782 5785 5786 5787 5788 5789 5793 5798 5800 5805 5808 5810 5819 5826 5827 5833 5835 5836 5841 5842 5847 5848 5849 5850 5852 5858 5866 5870 5875 5879 5888 5895 5896 5900 5902 5908 5935 5945 5947
've 7 4625 5127 5160 5167 5273 5288 5888
-- 32 4599 4692 4809 4824 4898 4941 4988 5056 5070 5109 5139 5167 5169 5172 5176 5244 5268 5273 5290 5295 5318 5431 5491 5507 5598 5610 5635 5636 5648 5761 5808 5887
-franc 1 5318
-ivori 1 5192
-offici 1 5838
.. 1 5278
... 21 4625 4632 4662 4689 4713 4951 5162 5171 5172 5176 5286 5318 5382 5458 5467 5473 5554 5752 5755 5796 5808
.... 2 5177 5318
0-92 1 5467
0.1 14 4743 4744 4770 4771 4944 5178 5375 5389 5523 5768 5769 5805 5848 5886
0.2 8 4771 5238 5375 5389 5805 5830 5848 5849
0.226 2 5526 5564
0.28 1 5706
0.3 8 4641 4771 5061 5196 5245 5805 5838 5839
0.3-0.4 1 4944
0.35 1 5932
0.38 1 5278
0.4 9 4634 4771 4944 5061 5210 5805 5830 5845 5848
0.45 1 5207
0.5 14 4744 4770 4771 4787 4944 5178 5183 5196 5245 5280 5472 5805 5848 5886
0.51 1 5207
0.531 2 5526 5564
0.545 2 5526 5564
0.6 9 4743 4744 4771 4944 5768 5769 5783 5805 5848
0.6800 1 5189
0.6820 1 5779
0.6858/63 1 5779
0.6864/69 1 5779
0.6875 1 5779
0.6900 1 5189
0.693 2 5526 5564
0.7 11 4602 4771 4944 5196 5769 5803 5805 5807 5830 5848 5879
0.8 15 4629 4634 4660 4771 4944 5061 5178 5240 5769 5798 5803 5805 5807 5830 5879
0.809 2 5526 5564
0.81 1 5517
0.9 8 4744 4944 5215 5318 5375 5389 5447 5523
0/92 4 5363 5467 5611 5639
0500 1 5142
0800 1 5783
0930 1 5792
1 21 4631 4640 4671 4939 5053 5057 5139 5167 5203 5232 5256 5273 5277 5410 5662 5687 5694 5789 5792 5827 5850
1,000 8 4648 4708 5172 5366 5481 5491 5711 5793
1.34 2 4636 4732
1.35 1 5134
1.36 2 4636 5278
1.37 1 4938
1.38 2 5678 5912
1.39 1 5470
1.4 13 4692 4695 5196 5234 5312 5508 5725 5738 5805 5827 5830 5849 5879
1.40 2 5888 5912
1.41 2 4920 5228
1.4375 1 5053
1.44 1 4636
1.47 3 4644 5684 5692
1.48 1 4788
1.495 1 4609
1.5 19 4581 4678 4771 4777 4778 4825 4922 4939 4988 5146 5148 5345 5412 5458 5467 5586 5636 5830 5848
1.50 1 5321
1.51 2 4583 5297
1.52 3 5495 5572 5575
1.53 2 5684 5692
1.5355 1 5070
1.54 2 5181 5279
1.55 2 4820 5274
1.57 2 5050 5437
1.5750 1 5070
1.5870 1 5070
1.59 1 4777
1.6 9 4602 4771 4776 4893 5058 5231 5793 5847 5848
1.60 5 5070 5290 5778 5788 5858
1.64 1 4893
1.65 1 5274
1.68 1 5297
1.69 1 5402
1.7 9 4771 4787 4944 4962 5235 5438 5725 5782 5839
1.70 2 4775 5216
1.71 3 5296 5402 5767
1.72 1 5214
1.728 1 5835
1.74 1 5214
1.75 3 4692 5015 5888
1.76 2 4788 5565
1.764 1 5883
1.77 1 5658
1.78 1 5712
1.79 1 5888
1.8 12 4744 4951 4974 5037 5061 5240 5244 5684 5692 5835 5842 5847
1.81 1 4974
1.82 1 5410
1.83 1 5410
1.84 1 4788
1.85 1 5070
1.851 1 5883
1.86 2 5176 5290
1.87 4 5070 5181 5778 5858
1.886 1 4671
1.9 8 4774 5034 5109 5234 5352 5437 5711 5941
1.90 1 5290
1.909 1 4630
1.91 1 5071
1.925 1 4671
1.93 1 4678
1.95 3 5600 5657 5788
1.97 1 5785
1/2 1 5474
1/8 1 4772
10 93 4590 4595 4600 4603 4604 4613 4630 4633 4634 4659 4679 4695 4709 4732 4744 4773 4774 4777 4785 4792 4794 4796 4822 4884 4890 4893 4900 4905 4908 4937 4939 4955 4956 4972 5020 5056 5116 5119 5145 5153 5181 5194 5214 5222 5231 5235 5268 5278 5279 5291 5339 5414 5422 5429 5435 5467 5469 5471 5473 5507 5516 5522 5528 5537 5540 5595 5600 5617 5627 5629 5648 5657 5658 5663 5665 5677 5683 5710 5711 5712 5721 5722 5725 5731 5787 5788 5800 5808 5887 5901 5911 5914 5935
10,000 4 4640 4648 4708 5142
10,248 1 4637
10,282,353 1 5538
10,326,000 1 5532
10,556,478 1 5538
10,572,402 4 5003 5033 5109 5610
10,694 1 5215
10,800,000 1 4911
10-1/2 1 4822
10-12 1 5033
10-15/16 1 4720
10-20 1 5467
10-3/8 4 4682 4720 4783 5909
10-5/16 3 4682 4720 4783
10-5/8 1 4720
10-7/16 5 4682 4720 4783 5232 5277
10-year 3 4696 5193 5779
10.0 4 5013 5061 5314 5911
10.1 5 4794 4827 5061 5314 5744
10.2 2 5253 5841
10.22 1 4773
10.3 3 4686 5678 5744
10.4 1 4794
10.45 1 5331
10.48 2 4993 5052
10.5 4 5109 5471 5565 5814
10.52 1 5264
10.572 1 5003
10.6 1 5738
10.66 1 5236
10.7 3 5210 5312 5731
10.75 1 5264
10.85 1 5236
10.89 2 4993 5052
10.9 2 4679 5426
100 18 4649 4744 5080 5094 5156 5178 5188 5201 5222 5228 5283 5330 5345 5349 5608 5839 5896 5935
100,000 6 4609 4983 5258 5667 5796 5847
100.0 1 4794
100.1 1 5128
101 1 5896
101,020 1 5003
101,376 1 5535
101.0 1 5342
101.6p 1 5257
101.7 1 4788
102 1 5887
102.2 1 5426
102.3 1 5848
102.6 1 4775
102.9 2 4901 4930
103 1 5526
103,000 1 4937
103.5 1 5084
103.9 1 5848
104 3 4623 5765 5887
104,386 1 5931
104,874 1 5051
104.2 1 5314
104.65 1 5153
105 2 4649 4691
105,000 1 5214
105,013 2 5555 5563
105.2 1 5415
105.9 1 5196
106 1 4692
106,054 1 5451
106.3 1 5848
106.6 1 5312
106.7 1 5594
107,370 1 5931
108 2 5458 5888
108.2 1 5848
109 2 5644 5887
109,131 1 4999
109.3 3 5219 5250 5530
109.4 2 5015 5848
109.8 1 5848
10p 1 5219
11 35 4630 4634 4776 4810 4821 4822 4829 4884 4938 4954 5034 5105 5126 5167 5188 5219 5273 5285 5327 5359 5366 5367 5407 5412 5452 5483 5502 5558 5627 5636 5741 5765 5793 5814 5933
11,000 1 4745
11,109,190 1 4806
11,254,837 3 5003 5033 5109
11,470 1 5606
11,747,000 1 4700
11,777,000 1 4700
11,968 1 5215
11-1/4 1 4822
11-year 1 5541
11.0 2 4988 5472
11.1 3 4741 5313 5566
11.10 1 5274
11.11 1 5236
11.2 4 5105 5257 5339 5785
11.25 6 4733 4773 4884 4910 5091 5465
11.28 1 5822
11.3 6 4892 5018 5367 5471 5483 5682
11.34 1 5274
11.4 3 4741 4884 5090
11.5 7 4603 4788 4881 4988 5219 5356 5471
11.50 4 4610 4621 5284 5291
11.52 1 5886
11.6 5 5061 5090 5415 5443 5830
11.7 3 5018 5172 5886
11.8 3 4944 5210 5941
11.9 2 5089 5911
110 5 4623 5145 5331 5684 5692
110,000 2 5116 5741
110.4 1 5426
110.9 1 5253
1100 1 4867
111 1 4692
111,100 1 5887
111,431 1 4686
111.3p 1 5257
111.5 1 5253
111.7 1 5253
112,000 1 5544
113.2 1 4893
113.3 2 5600 5657
1130 2 5598 5880
114,400 1 5887
114.22 1 5207
115,000 2 4593 4689
115.47 1 5836
116,000 1 5003
116.0 2 5050 5314
116.8 1 5464
117 1 4630
117.2 1 5308
117.3 2 4776 5782
117.4 1 5196
117.6 2 4581 4637
117.68 1 5941
117.7 1 5196
117.9 1 5848
118 1 5887
119 1 4644
119,000 2 5084 5679
11th 2 4809 5394
12 54 4599 4634 4691 4747 4775 4792 4796 4797 4801 4803 4824 4881 4884 4887 4905 4993 5020 5037 5052 5061 5072 5084 5105 5128 5141 5150 5181 5194 5207 5220 5231 5258 5268 5313 5354 5382 5471 5507 5517 5523 5530 5593 5677 5682 5710 5734 5744 5787 5836 5849 5879 5906 5911 5930
12,000 2 4898 5398
12,507,671 1 5444
12,589,000 1 5015
12-mar-1987 1 4620
12-month 1 5139
12.0 2 5636 5931
12.04 1 5207
12.05 1 4881
12.1 2 5172 5321
12.18 1 4881
12.2 2 5731 5849
12.23 1 5216
12.24 1 4974
12.37p 1 5257
12.42 1 5089
12.5 7 4801 5118 5318 5471 5483 5742 5898
12.50 3 4925 5190 5338
12.6 4 4741 5297 5312 5782
12.60 1 5767
12.61 1 5470
12.7 1 5849
12.8 4 4788 5172 5600 5657
12.9 2 5684 5692
12.92 1 5767
120 11 4617 4711 4740 4953 4962 5156 5277 5583 5585 5746 5945
120,000 1 5392
120.6 1 4814
1200 1 4739
121,000 1 5333
121.1 2 5219 5250
121.4 2 4901 4930
121.5 1 5238
122,000 3 5017 5595 5725
122.0 1 5196
122.3 2 5196 5256
122.9 1 5429
123 1 5526
123,000 2 5090 5333
123.6 1 4792
124,000 1 5018
124,434 1 5741
124.16 1 5207
124.4 1 5941
124.5 1 5594
124.6 2 5219 5848
125 2 4605 5456
125,000 5 4689 5123 5125 5281 5544
125,150 1 5818
125,922 1 5535
125.0 1 5256
125.2 1 5308
125.54 1 4938
125.8 1 5525
126 1 5902
126,000 1 5333
126,321 1 5354
126.4 1 5848
126.5 1 5911
126.7 1 5072
126.8 1 5015
127,000 1 4827
127,587 1 5660
127.3 1 4771
127.34 1 4644
128 1 5570
128.1 1 4797
129 5 5554 5644 5684 5692 5887
129,000 1 5725
129.9 2 5600 5657
12p 1 5219
12th 2 5141 5287
13 23 4634 4751 4779 4783 4901 4911 4952 5095 5222 5296 5309 5367 5411 5429 5500 5511 5516 5531 5570 5576 5604 5680 5682
13-1/4 1 5366
13-cent 1 5787
13-d 1 5671
13-mar-1987 1 4832
13-nation 2 5167 5273
13-year 2 5167 5273
13.00 1 4925
13.2 3 4827 4908 5415
13.3 3 5209 5782 5800
13.4 3 5061 5089 5531
13.43 1 5811
13.5 3 4603 5054 5410
13.6 5 4772 5183 5280 5756 5841
13.66/68 1 5779
13.7 2 4695 5172
13.74 1 5779
13.78 1 4881
13.79 1 4610
13.8 2 5592 5624
13.82 1 5779
13.83 1 4881
13.85 1 5767
13.87 1 5779
13.9 1 5048
130 2 5178 5887
130,000 2 5214 5327
130.22 1 4644
131.1 1 5359
132 1 5171
132,851 1 5677
132.1 1 5219
132.6 1 4776
132.7 1 4745
132.79 1 5207
133,000 2 5541 5558
133,071 1 5043
134 1 4644
134.7 1 4797
135 2 4953 5121
135,000 2 5152 5315
135.0 1 4787
135.3 1 4649
136 1 5945
136.0 1 4787
137,600 1 5214
137,653 1 5530
137.8 1 5245
138 1 4695
138,372 1 5906
138.5 1 5072
139,000 1 5500
139.0 1 4745
139.6 1 4797
13d 1 5710
14 24 4577 4691 4792 4801 4892 4905 4974 5034 5244 5339 5438 5445 5473 5487 5559 5670 5706 5723 5738 5758 5808 5887 5898 5909
14,571,434 1 5317
14.0 1 5015
14.2 4 4729 4987 5312 5930
14.20 1 4621
14.3 3 5181 5257 5472
14.4 4 5356 5624 5879 5941
14.5 4 5600 5657 5684 5692
14.50 1 4621
14.6 2 5543 5632
14.60 1 4621
14.7 1 5312
14.77 1 4644
14.8 3 5061 5710 5750
14.9 3 4660 5193 5313
140 4 4600 4604 5283 5290
140,000 4 4609 5116 5118 5119
140.00 2 5778 5858
140.3 1 5464
140.57 1 5941
140.8 1 5264
1400 2 4867 4905
141,300,000 1 4777
141.1 1 5318
141.6 1 5178
142,200 1 4954
142.2 1 5245
142.4 1 5758
142.7 1 5245
143 2 4894 5291
1430 1 5880
144 1 4630
144.5 1 5359
145 1 4983
146 2 5042 5765
147 2 4682 5188
147.4 1 4893
147.7 1 5941
148,007 1 5043
149 1 4621
149,750 1 4884
149,755 1 5175
15 60 4606 4613 4644 4681 4691 4739 4755 4782 4797 4821 4900 4905 4944 4983 4991 4998 5012 5021 5034 5085 5109 5115 5132 5139 5150 5183 5190 5268 5280 5291 5295 5338 5345 5366 5383 5412 5473 5532 5546 5593 5624 5627 5662 5671 5675 5677 5687 5701 5707 5720 5729 5734 5746 5769 5792 5811 5888 5894 5898 5938
15,000 4 5383 5541 5558 5636
15,308 1 4695
15,750,100 1 4599
15-june 1 5383
15-member 1 5226
15-pct 1 4807
15.0 4 4987 5029 5416 5898
15.08 1 5264
15.1 1 4729
15.2 1 5328
15.22 1 5470
15.3 2 4987 5219
15.4 4 5058 5089 5272 5941
15.44 1 5264
15.5 3 5214 5677 5738
15.50 2 5320 5331
15.7 3 4744 5037 5061
15.73 1 5216
15.75 2 5296 5455
15.8 6 4658 4664 4714 5105 5167 5273
15.80 1 4776
15.9 2 5235 5422
15.95 1 4691
15/april 1 4681
150 8 4824 4941 4983 5070 5139 5270 5345 5421
150,000 6 4939 5139 5148 5416 5630 5637
150-foot 1 5932
150.00 2 5778 5858
150.40 1 5070
150.6 2 5141 5287
151,000 1 4775
151.4 2 4659 5429
151.50 2 5778 5858
152 4 5139 5156 5330 5887
152,600 1 4599
152,717 1 5566
152.35/40 1 5070
152.4 1 5565
153 2 4616 4712
153.3 1 5318
153.35/40 1 5070
153.50 1 5769
153.77 2 4633 4709
153.8 1 4649
154 2 5150 5473
154,654 1 5461
154.67 1 5769
155 2 5042 5290
155.83 1 5134
156,098 1 5925
156,576 1 4820
156.2 1 4590
156.94 1 4610
157 1 5818
157.2 1 5475
158,000 4 4898 5452 5541 5558
158.4 1 5316
159,000 1 5835
159,784 1 5051
16 27 4610 4621 4796 4804 4892 4983 5029 5050 5056 5095 5162 5190 5207 5296 5314 5316 5338 5392 5414 5438 5531 5570 5644 5658 5689 5701 5909
16,817,618 1 5444
16,945,000 1 5327
16-mar-1987 2 5336 5362
16.00 2 4644 4776
16.07 1 5216
16.1 3 4797 5061 5926
16.15 1 5800
16.18 1 5811
16.25 1 5207
16.28 1 4938
16.3 1 5723
16.34 1 4610
16.4 1 4660
16.40 1 5264
16.42-16.45 1 5779
16.5 1 5029
16.50 3 5335 5379 5779
16.6 3 4892 5167 5273
16.62 1 5785
16.65 1 5779
16.66 1 5822
16.7 2 5061 5416
16.8 3 5531 5769 5785
16.85 1 4623
16.9 2 5339 5854
160 3 4602 5542 5852
160,000 3 4890 4939 5116
160,431 1 4827
160,700 1 5602
160.3 1 5911
161 1 5818
161,000 1 5576
162 1 5765
162,000 1 5835
162.3 1 4974
165 1 5276
165,000 1 4972
165.5 1 5594
166 1 5429
166,000 1 4732
166.0 1 4974
166.8 1 4974
167.7 1 5342
167.9 1 4797
168 1 4720
168.5 1 4641
169 3 4692 5376 5561
17 28 4634 4798 4901 4933 4956 4990 5070 5089 5116 5119 5268 5313 5339 5340 5461 5491 5500 5531 5540 5556 5604 5647 5701 5744 5765 5769 5787 5811
17,000 1 4983
17,800 1 4769
17.0 2 5339 5679
17.07 1 5216
17.1 1 5456
17.15p 1 5257
17.2 1 5941
17.3 1 4893
17.35 1 4644
17.4 3 4987 5061 5592
17.5 2 5114 5632
17.50 3 4576 4578 4584
17.51 1 5811
17.6 1 4579
17.7 1 5356
17.75 1 4584
17.8 4 5048 5114 5654 5925
17.85 2 4576 4584
170 3 4633 4687 4709
170,000 1 5452
170,866 2 5617 5629
170-year-old 2 5177 5286
170.9 1 5839
1700 3 4970 5783 5792
171.1 1 5744
172,000 1 4930
172,166 1 4914
172.8 1 5839
174.2 1 5321
175 1 4605
175,000 1 5431
176 1 4783
176.1 1 4641
177,000 2 4631 4803
177.87 1 4610
177.95 1 4938
178.2 1 5750
178.8 1 4581
179 1 4692
18 36 4610 4621 4625 4662 4664 4713 4714 4801 4809 4824 4914 4944 4970 4987 4999 5018 5021 5029 5109 5139 5167 5171 5201 5273 5394 5491 5495 5501 5530 5531 5624 5683 5788 5887 5888 5913
18,345 1 5606
18-month 1 5270
18.0 3 4744 5037 5061
